"","Date","region","total confirmed cases","new cases","interventions"
"326",2020-03-01,"WA",1,0,NA
"327",2020-03-01,"VIC",9,5,NA
"328",2020-03-01,"SA",2,0,NA
"329",2020-03-01,"ACT",0,0,NA
"330",2020-03-01,"NT",7,0,NA
"331",2020-03-01,"QLD",9,0,NA
"332",2020-03-01,"TAS",0,0,NA
"333",2020-03-01,"AUS",34,7,"Travel ban on Iran"
"334",2020-03-02,"NSW",6,0,NA
"335",2020-03-02,"WA",1,0,NA
"336",2020-03-02,"VIC",10,1,NA
"337",2020-03-02,"SA",2,0,NA
"338",2020-03-02,"ACT",0,0,NA
"339",2020-03-02,"NT",7,0,NA
"340",2020-03-02,"QLD",9,0,NA
"341",2020-03-02,"TAS",1,1,NA
"342",2020-03-02,"AUS",36,2,NA
"343",2020-03-03,"NSW",15,9,NA
"344",2020-03-03,"WA",1,0,NA
"345",2020-03-03,"VIC",10,0,NA
"346",2020-03-03,"SA",2,0,NA
"347",2020-03-03,"ACT",0,0,NA
"348",2020-03-03,"NT",7,0,NA
"349",2020-03-03,"QLD",10,1,NA
"350",2020-03-03,"TAS",1,0,NA
"351",2020-03-03,"AUS",36,0,NA
"352",2020-03-04,"NSW",22,7,NA
"353",2020-03-04,"WA",1,0,NA
"354",2020-03-04,"VIC",10,0,NA
"355",2020-03-04,"SA",2,0,NA
"356",2020-03-04,"ACT",0,0,NA
"357",2020-03-04,"NT",8,1,NA
"358",2020-03-04,"QLD",11,1,NA
"359",2020-03-04,"TAS",1,0,NA
"360",2020-03-04,"AUS",55,19,NA
"361",2020-03-05,"NSW",22,0,NA
"362",2020-03-05,"WA",3,2,NA
"363",2020-03-05,"VIC",10,0,NA
"364",2020-03-05,"SA",5,3,NA
"365",2020-03-05,"ACT",0,0,NA
"366",2020-03-05,"NT",8,0,NA
"367",2020-03-05,"QLD",13,2,NA
"368",2020-03-05,"TAS",1,0,NA
"369",2020-03-05,"AUS",62,7,"Travel ban on South Korea"
"370",2020-03-06,"NSW",28,6,NA
"371",2020-03-06,"WA",3,0,NA
"372",2020-03-06,"VIC",10,0,NA
"373",2020-03-06,"SA",7,2,NA
"374",2020-03-06,"ACT",0,0,NA
"375",2020-03-06,"NT",8,0,NA
"376",2020-03-06,"QLD",14,1,NA
"377",2020-03-06,"TAS",1,0,NA
"378",2020-03-06,"AUS",71,9,NA
"379",2020-03-07,"NSW",36,8,NA
"380",2020-03-07,"WA",3,0,NA
"381",2020-03-07,"VIC",11,1,NA
"382",2020-03-07,"SA",7,0,NA
"383",2020-03-07,"ACT",0,0,NA
"384",2020-03-07,"NT",8,0,NA
"385",2020-03-07,"QLD",14,0,NA
"386",2020-03-07,"TAS",1,0,NA
"387",2020-03-07,"AUS",80,9,NA
"388",2020-03-08,"NSW",38,12,NA
"389",2020-03-08,"WA",4,1,NA
"390",2020-03-08,"VIC",12,1,NA
"391",2020-03-08,"SA",7,0,NA
"392",2020-03-08,"ACT",0,0,NA
"393",2020-03-08,"NT",8,0,NA
"394",2020-03-08,"QLD",15,1,NA
"395",2020-03-08,"TAS",2,1,NA
"396",2020-03-08,"AUS",86,6,NA
"397",2020-03-09,"NSW",47,9,NA
"398",2020-03-09,"WA",6,2,NA
"399",2020-03-09,"VIC",15,3,NA
"400",2020-03-09,"SA",7,0,NA
"401",2020-03-09,"ACT",0,0,NA
"402",2020-03-09,"NT",8,0,NA
"403",2020-03-09,"QLD",15,0,NA
"404",2020-03-09,"TAS",2,0,NA
"405",2020-03-09,"AUS",100,14,NA
"406",2020-03-10,"NSW",61,14,NA
"407",2020-03-10,"WA",6,0,NA
"408",2020-03-10,"VIC",18,3,NA
"409",2020-03-10,"SA",7,0,NA
"410",2020-03-10,"ACT",0,0,NA
"411",2020-03-10,"NT",8,0,NA
"412",2020-03-10,"QLD",18,3,NA
"413",2020-03-10,"TAS",2,0,NA
"414",2020-03-10,"AUS",120,20,"Travel ban on Italy"
"415",2020-03-11,"NSW",65,4,NA
"416",2020-03-11,"WA",9,3,NA
"417",2020-03-11,"VIC",21,3,NA
"418",2020-03-11,"SA",9,2,NA
"419",2020-03-11,"ACT",0,0,NA
"420",2020-03-11,"NT",8,0,NA
"421",2020-03-11,"QLD",20,2,NA
"422",2020-03-11,"TAS",3,1,NA
"423",2020-03-11,"AUS",135,15,NA
